iter	Passed	Remaining
764	2287	104
765	2289	101
766	2291	98
767	2294	95
768	2296	92
769	2299	89
770	2302	86
771	2304	83
772	2307	80
773	2310	77
774	2313	74
775	2316	71
776	2319	68
777	2321	65
778	2324	62
779	2327	59
780	2330	56
781	2333	53
782	2336	50
783	2338	47
784	2341	44
785	2343	41
786	2346	38
787	2349	35
788	2351	32
789	2354	29
790	2356	26
791	2359	23
792	2362	20
793	2365	17
794	2368	14
795	2370	11
796	2373	8
797	2375	5
798	2378	2
799	2381	0
